,Election,CandidateID,CandidateName,Date,Name,ContributerType,BoroughName,City,State,ZipCode,ContributionState,Amount,MatchAmt,PrevAmt,PayMethod,TotalAmount
0,2017,326,"de Blasio, Bill",,1199/SEIU NYS Pol. Action Fund,Political Action Committee,Manhattan,New York,NY,10108,,4950,0,0,Check,4950
1,2017,326,"de Blasio, Bill",,32BJ United ADF,Political Action Committee,Manhattan,New York,NY,10011,,2500,0,0,Check,2500
2,2017,326,"de Blasio, Bill",,32BJ United ADF,Political Action Committee,Manhattan,New York,NY,10011,,2450,0,2500,Check,4950
3,2017,326,"de Blasio, Bill",,ACEC New York City PAC,Political Action Committee,Manhattan,New York,NY,10018,,4950,0,0,Check,4950
4,2017,326,"de Blasio, Bill",,AFSCME DC 1707 PAC,Political Action Committee,Manhattan,New York,NY,10013,,500,0,0,Check,500
5,2017,326,"de Blasio, Bill",,AFSCME DC 1707 PAC,Political Action Committee,Manhattan,New York,NY,10013,,3000,0,500,Check,3500
6,2017,326,"de Blasio, Bill",,AFSCME International,Labor Union,Other,Washington,DC,20036,,4950,0,0,Check,4950
7,2017,326,"de Blasio, Bill",,AFSCME Local 1407,Labor Union,Manhattan,New York,NY,10007,,1000,0,0,Check,1000
8,2017,326,"de Blasio, Bill",,AFT Michigan,Labor Union,Other,Detroit,MI,48207,,1000,0,0,Check,1000
9,2017,326,"de Blasio, Bill",,Amalgamated Transit Union Loca,Labor Union,Queens,Queens Village,NY,11428,,2500,0,0,Check,2500
10,2017,326,"de Blasio, Bill",,American Federation of Teacher,Labor Union,Other,Washington,DC,20001,,4950,0,0,Check,4950
11,2017,2084,"Bashner, Richard S",,Article the Fifth Trust uwo Ar,Other,Other,Yonkers,NY,10705,,2500,0,0,Check,2500
12,2017,2071,"Malliotakis, Nicole",,Association of Surrogates Repo,Other,Manhattan,New York,NY,10007,,500,0,0,Check,500
13,2017,326,"de Blasio, Bill",,Association of Theatrical Pres,Labor Union,Manhattan,New York,NY,10036,,400,0,0,Check,400
14,2017,326,"de Blasio, Bill",,ATU NY COPE Fund,Political Action Committee,Other,Washington,DC,20016,,4950,0,0,Check,4950
15,2017,2071,"Malliotakis, Nicole",,Believe in New York,Political Action Committee,Other,RIDGEFIELD,CT,6877,,1000,0,0,Check,1000
16,2017,2071,"Malliotakis, Nicole",,Believe in New York,Political Action Committee,Other,RIDGEFIELD,CT,6877,,-1000,0,0,Unknown,-1000
17,2017,2071,"Malliotakis, Nicole",,Boyle for Senate,Other,Other,BAYSHORE,NY,11706,,500,0,0,Check,500
18,2017,2071,"Malliotakis, Nicole",,BRING BROOKLYN BACK,Political Action Committee,Other,MINEOLA,NY,11501,,200,0,0,Check,200
19,2017,326,"de Blasio, Bill",,Building & Construction Trades,Political Action Committee,Manhattan,New York,NY,10010,,2500,0,0,Check,2500
20,2017,326,"de Blasio, Bill",,Building for New Yorkers PAC,Political Action Committee,Other,Merrick,NY,11566,,4950,0,0,Check,4950
21,2017,326,"de Blasio, Bill",,California State Council of Un,Labor Union,Other,San Francisco,CA,94102,,4950,0,0,Check,4950
22,2017,326,"de Blasio, Bill",,California State Council of Un,Labor Union,Other,San Francisco,CA,94102,,-4950,0,0,Unknown,-4950
23,2017,326,"de Blasio, Bill",,Captains Endowment Association,Political Action Committee,Manhattan,New York,NY,10038,,2000,0,0,Check,2000
24,2017,,"Albanese, Sal F",,Captains Endowment Association,Political Action Committee,Manhattan,New York,NY,10038,,750,0,0,Check,750
25,2017,326,"de Blasio, Bill",,Carolyn's PAC,Political Action Committee,Manhattan,New York,NY,10128,,1000,0,0,Check,1000
