,Election,CandidateID,CandidateName,Date,Name,ContributerType,BoroughName,City,State,ZipCode,ContributionState,Amount,MatchAmt,PrevAmt,PayMethod,TotalAmount
0,2017,326.0,"de Blasio, Bill",,1199/SEIU NYS Pol. Action Fund,Political Action Committee,Manhattan,New York,NY,10108.0,,4950.0,0.0,0.0,Check,4950.0
1,2017,326.0,"de Blasio, Bill",,32BJ United ADF,Political Action Committee,Manhattan,New York,NY,10011.0,,2500.0,0.0,0.0,Check,2500.0
2,2017,326.0,"de Blasio, Bill",,32BJ United ADF,Political Action Committee,Manhattan,New York,NY,10011.0,,2450.0,0.0,2500.0,Check,4950.0
3,2017,326.0,"de Blasio, Bill",,ACEC New York City PAC,Political Action Committee,Manhattan,New York,NY,10018.0,,4950.0,0.0,0.0,Check,4950.0
4,2017,326.0,"de Blasio, Bill",,AFSCME DC 1707 PAC,Political Action Committee,Manhattan,New York,NY,10013.0,,500.0,0.0,0.0,Check,500.0
5,2017,326.0,"de Blasio, Bill",,AFSCME DC 1707 PAC,Political Action Committee,Manhattan,New York,NY,10013.0,,3000.0,0.0,500.0,Check,3500.0
6,2017,326.0,"de Blasio, Bill",,AFSCME International,Labor Union,Other,Washington,DC,20036.0,,4950.0,0.0,0.0,Check,4950.0
7,2017,326.0,"de Blasio, Bill",,AFSCME Local 1407,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
8,2017,326.0,"de Blasio, Bill",,AFT Michigan,Labor Union,Other,Detroit,MI,48207.0,,1000.0,0.0,0.0,Check,1000.0
9,2017,326.0,"de Blasio, Bill",,Amalgamated Transit Union Loca,Labor Union,Queens,Queens Village,NY,11428.0,,2500.0,0.0,0.0,Check,2500.0
10,2017,326.0,"de Blasio, Bill",,American Federation of Teacher,Labor Union,Other,Washington,DC,20001.0,,4950.0,0.0,0.0,Check,4950.0
11,2017,2084.0,"Bashner, Richard S",,Article the Fifth Trust uwo Ar,Other,Other,Yonkers,NY,10705.0,,2500.0,0.0,0.0,Check,2500.0
12,2017,2071.0,"Malliotakis, Nicole",,Association of Surrogates Repo,Other,Manhattan,New York,NY,10007.0,,500.0,0.0,0.0,Check,500.0
13,2017,326.0,"de Blasio, Bill",,Association of Theatrical Pres,Labor Union,Manhattan,New York,NY,10036.0,,400.0,0.0,0.0,Check,400.0
14,2017,326.0,"de Blasio, Bill",,ATU NY COPE Fund,Political Action Committee,Other,Washington,DC,20016.0,,4950.0,0.0,0.0,Check,4950.0
15,2017,2071.0,"Malliotakis, Nicole",,Believe in New York,Political Action Committee,Other,RIDGEFIELD,CT,6877.0,,1000.0,0.0,0.0,Check,1000.0
16,2017,2071.0,"Malliotakis, Nicole",,Believe in New York,Political Action Committee,Other,RIDGEFIELD,CT,6877.0,,-1000.0,0.0,0.0,Unknown,-1000.0
17,2017,2071.0,"Malliotakis, Nicole",,Boyle for Senate,Other,Other,BAYSHORE,NY,11706.0,,500.0,0.0,0.0,Check,500.0
18,2017,2071.0,"Malliotakis, Nicole",,BRING BROOKLYN BACK,Political Action Committee,Other,MINEOLA,NY,11501.0,,200.0,0.0,0.0,Check,200.0
19,2017,326.0,"de Blasio, Bill",,Building & Construction Trades,Political Action Committee,Manhattan,New York,NY,10010.0,,2500.0,0.0,0.0,Check,2500.0
20,2017,326.0,"de Blasio, Bill",,Building for New Yorkers PAC,Political Action Committee,Other,Merrick,NY,11566.0,,4950.0,0.0,0.0,Check,4950.0
21,2017,326.0,"de Blasio, Bill",,California State Council of Un,Labor Union,Other,San Francisco,CA,94102.0,,4950.0,0.0,0.0,Check,4950.0
22,2017,326.0,"de Blasio, Bill",,California State Council of Un,Labor Union,Other,San Francisco,CA,94102.0,,-4950.0,0.0,0.0,Unknown,-4950.0
23,2017,326.0,"de Blasio, Bill",,Captains Endowment Association,Political Action Committee,Manhattan,New York,NY,10038.0,,2000.0,0.0,0.0,Check,2000.0
24,2017,,"Albanese, Sal F",,Captains Endowment Association,Political Action Committee,Manhattan,New York,NY,10038.0,,750.0,0.0,0.0,Check,750.0
25,2017,326.0,"de Blasio, Bill",,Carolyn's PAC,Political Action Committee,Manhattan,New York,NY,10128.0,,1000.0,0.0,0.0,Check,1000.0
26,2017,326.0,"de Blasio, Bill",,Carolyn's PAC,Political Action Committee,Manhattan,New York,NY,10128.0,,-1000.0,0.0,0.0,Unknown,-1000.0
27,2017,326.0,"de Blasio, Bill",,Civil Service Technical Guild,Political Action Committee,Manhattan,New York,NY,10007.0,,4950.0,0.0,0.0,Check,4950.0
28,2017,326.0,"de Blasio, Bill",,Civil Service Technical Guild,Political Action Committee,Manhattan,New York,NY,10007.0,,-4950.0,0.0,0.0,Unknown,-4950.0
29,2017,2071.0,"Malliotakis, Nicole",,CONSERVATIVE PARTY OF MONROE C,Political Action Committee,Other,PITTSFORD,NY,14534.0,,1000.0,0.0,0.0,Check,1000.0
30,2017,2071.0,"Malliotakis, Nicole",,CONSERVATIVE PARTY OF MONROE C,Political Action Committee,Other,PITTSFORD,NY,14534.0,,-1000.0,0.0,0.0,Unknown,-1000.0
31,2017,326.0,"de Blasio, Bill",,Corey 2017,Candidate Committee,Manhattan,New York,NY,10001.0,NY,2382.0,0.0,0.0,Credit Card,2382.0
32,2017,326.0,"de Blasio, Bill",,Corey 2017,Candidate Committee,Manhattan,New York,NY,10001.0,NY,125.0,0.0,2382.0,Credit Card,2507.0
33,2017,326.0,"de Blasio, Bill",,Corey 2017,Candidate Committee,Manhattan,New York,NY,10001.0,NY,2443.0,0.0,2507.0,Check,4950.0
34,2017,,"Albanese, Sal F",,Correction Captains Associatio,Political Action Committee,Brooklyn,Brooklyn,NY,11232.0,,1000.0,0.0,0.0,Check,1000.0
35,2017,,"Albanese, Sal F",,Correction Officers Benevolent,Political Action Committee,Manhattan,New York,NY,10004.0,,2450.0,0.0,2500.0,Check,4950.0
36,2017,,"Albanese, Sal F",,Correction Officers Benevolent,Political Action Committee,Manhattan,New York,NY,10004.0,,2500.0,0.0,0.0,Check,2500.0
37,2017,326.0,"de Blasio, Bill",,Council of School Supervisors,Political Action Committee,Manhattan,New York,NY,10006.0,,2500.0,0.0,0.0,Check,2500.0
38,2017,326.0,"de Blasio, Bill",,Council of School Supervisors,Political Action Committee,Manhattan,New York,NY,10006.0,,2450.0,0.0,2500.0,Check,4950.0
39,2017,326.0,"de Blasio, Bill",,Cozen O'Connor Empire State PA,Political Action Committee,Other,Philadelphia,PA,19103.0,,2000.0,0.0,0.0,Check,2000.0
40,2017,326.0,"de Blasio, Bill",,CSE Political Action Fund,Political Action Committee,Other,Albany,NY,12210.0,,2500.0,0.0,0.0,Check,2500.0
41,2017,326.0,"de Blasio, Bill",,CWA District One PAC,Political Action Committee,Manhattan,New York,NY,10005.0,,2500.0,0.0,0.0,Check,2500.0
42,2017,326.0,"de Blasio, Bill",,CWA District One PAC,Political Action Committee,Manhattan,New York,NY,10005.0,,2450.0,0.0,2500.0,Check,4950.0
43,2017,326.0,"de Blasio, Bill",,D & M PAC LLC,Political Action Committee,Manhattan,New York,NY,10158.0,,1500.0,0.0,0.0,Check,1500.0
44,2017,326.0,"de Blasio, Bill",,D&M P.A.C. LLC,Political Action Committee,Manhattan,New York,NY,10158.0,,200.0,0.0,0.0,Check,200.0
45,2017,2071.0,"Malliotakis, Nicole",,D.E.A.C.O.P.E. FUND,Political Action Committee,Manhattan,New York,NY,10007.0,,3950.0,0.0,1000.0,Check,4950.0
46,2017,2071.0,"Malliotakis, Nicole",,D.E.A.C.O.P.E. FUND,Political Action Committee,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
47,2017,326.0,"de Blasio, Bill",,DC 1707 - Local 253,Labor Union,Manhattan,New York,NY,10036.0,,500.0,0.0,0.0,Check,500.0
48,2017,326.0,"de Blasio, Bill",,DC 37,Other,Manhattan,New York,NY,10007.0,,3500.0,0.0,0.0,Check,3500.0
